generation,best_fitness,min_fitness,max_fitness,mean_fitness,std_fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
204,5.31293,5.31942,534.777,14.6156,39.6488,-774.896,178.172,417.352,52.8882,1040.45,4575.25
205,5.31293,5.321,477.539,13.3175,34.5756,-774.896,178.172,417.352,52.8882,1040.45,4575.25
206,5.31293,5.31303,504.347,12.6276,33.246,-774.896,178.172,417.352,52.8882,1040.45,4575.25
207,5.31293,5.32247,322.44,12.6889,26.6282,-774.896,178.172,417.352,52.8882,1040.45,4575.25
208,5.31293,5.31791,154.221,10.8143,15.3089,-774.896,178.172,417.352,52.8882,1040.45,4575.25
209,5.31284,5.31284,361.892,13.2937,33.5134,-774.544,178.011,417.186,52.8701,1040.29,4576.18
210,5.31284,5.32092,442.853,11.9263,27.7807,-774.544,178.011,417.186,52.8701,1040.29,4576.18
211,5.31284,5.31598,477.236,13.7929,39.5809,-774.544,178.011,417.186,52.8701,1040.29,4576.18
212,5.31284,5.32183,184.779,10.9175,13.866,-774.544,178.011,417.186,52.8701,1040.29,4576.18
213,5.31284,5.3178,364.922,13.2947,32.5931,-774.544,178.011,417.186,52.8701,1040.29,4576.18
214,5.31284,5.31733,420.796,13.3338,31.6215,-774.544,178.011,417.186,52.8701,1040.29,4576.18
215,5.31284,5.3165,474.809,12.5836,31.0738,-774.544,178.011,417.186,52.8701,1040.29,4576.18
216,5.31284,5.32366,300.707,12.7315,23.5862,-774.544,178.011,417.186,52.8701,1040.29,4576.18
217,5.31284,5.31745,320.303,12.8104,26.5709,-774.544,178.011,417.186,52.8701,1040.29,4576.18
218,5.31284,5.31365,471.625,13.325,33.5389,-774.544,178.011,417.186,52.8701,1040.29,4576.18
219,5.31284,5.3129,586.173,12.877,36.6658,-774.544,178.011,417.186,52.8701,1040.29,4576.18
220,5.312,5.312,223.278,12.8193,21.5986,-774.753,177.974,417.398,52.8933,1040.26,4575.44
221,5.312,5.31404,438.404,12.8879,29.9078,-774.753,177.974,417.398,52.8933,1040.26,4575.44
222,5.312,5.32,221.722,12.9427,25.2209,-774.753,177.974,417.398,52.8933,1040.26,4575.44
223,5.312,5.3156,169.843,10.8998,16.6114,-774.753,177.974,417.398,52.8933,1040.26,4575.44
224,5.312,5.31666,437.208,12.9817,31.7428,-774.753,177.974,417.398,52.8933,1040.26,4575.44
225,5.312,5.31518,498.773,13.4305,36.4125,-774.753,177.974,417.398,52.8933,1040.26,4575.44
226,5.312,5.31461,544.846,12.0834,32.295,-774.753,177.974,417.398,52.8933,1040.26,4575.44
227,5.312,5.32394,489.691,12.3739,30.5851,-774.753,177.974,417.398,52.8933,1040.26,4575.44
